Family Name,Style Name,Width,Height,Aspect Ratio,x-height,Density,Slant,Curve,Serif,
Caesar Dressing,Regular,0.217368,0.353053,0.686060,0.390000,0.438943,0.196634,0.318237,0.095000,
Cagliostro,Regular,0.226526,0.330421,0.695588,0.240000,0.378489,0.149973,0.232928,0.039000,
Calligraffitti,Regular,0.284737,0.352947,0.673555,0.440000,0.208219,0.272996,0.356583,0.097000,
Cambay,Bold Italic,0.253158,0.314316,0.659832,0.250000,0.426105,0.177310,0.308021,0.076000,
Cambay,Bold,0.228737,0.313895,0.680937,0.250000,0.480498,0.164355,0.344263,0.025000,
Cambay,Italic,0.235158,0.299579,0.665392,0.240000,0.326983,0.157597,0.220885,0.065000,
Cambay,Regular,0.209579,0.298211,0.691901,0.240000,0.371668,0.154099,0.266461,0.028000,
Cambo,Regular,0.233158,0.314526,0.691202,0.260000,0.355814,0.179961,0.268713,0.082000,
Candal,Regular,0.266737,0.323579,0.651850,0.270000,0.615721,0.137620,0.242489,0.032000,
Cantarell,BoldOblique,0.305158,0.326000,0.640858,0.240000,0.392597,0.176109,0.282862,0.087000,
Cantarell,Bold,0.251895,0.326421,0.673854,0.250000,0.488438,0.151010,0.294053,0.032000,
Cantarell,Oblique,0.267895,0.318842,0.651735,0.240000,0.299979,0.154911,0.203777,0.066000,
Cantarell,Regular,0.215684,0.319263,0.705651,0.250000,0.385047,0.138479,0.237431,0.031000,
Cantata One,Regular,0.271158,0.356316,0.692199,0.260000,0.372075,0.177091,0.302980,0.069000,
CantoraOne,Regular,0.220316,0.332842,0.690441,0.250000,0.469399,0.156825,0.281914,0.027000,
Capriola,Regular,0.244000,0.348421,0.690448,0.280000,0.459607,0.159440,0.289940,0.027000,
Cardo,Bold,0.252842,0.322316,0.683743,0.220000,0.411472,0.203105,0.343295,0.062000,
Cardo,Italic,0.254000,0.325895,0.674099,0.230000,0.262069,0.231682,0.313641,0.101000,
Cardo,Regular,0.241684,0.324421,0.693467,0.220000,0.304212,0.208996,0.326414,0.067000,
Carme,Regular,0.210842,0.316105,0.701856,0.250000,0.408840,0.128073,0.250974,0.024000,
Carrois Gothic,Regular,0.195158,0.326526,0.721716,0.270000,0.392212,0.143505,0.271363,0.024000,
Carrois Gothic SC,Regular,0.200526,0.314947,0.709037,0.280000,0.392439,0.139355,0.267179,0.024000,
Carter One,Regular,0.267053,0.344632,0.652200,0.300000,0.546170,0.154360,0.247706,0.076000,
Catamaran,Black,0.245684,0.304316,0.654746,0.250000,0.607717,0.160368,0.297911,0.025000,
Catamaran,Bold,0.223158,0.302947,0.674336,0.250000,0.521584,0.180535,0.339574,0.032000,
Catamaran,ExtraBold,0.233895,0.304000,0.663069,0.250000,0.565933,0.177150,0.327641,0.032000,
Catamaran,ExtraLight,0.193368,0.298842,0.722770,0.260000,0.294011,0.210428,0.322245,0.029000,
Catamaran,Light,0.197158,0.298211,0.716624,0.250000,0.325445,0.185818,0.302535,0.031000,
Catamaran,Medium,0.209895,0.301158,0.689103,0.250000,0.416026,0.161435,0.278288,0.031000,
Catamaran,Regular,0.202421,0.299368,0.701512,0.250000,0.370060,0.153571,0.259175,0.032000,
Catamaran,SemiBold,0.216737,0.301158,0.682216,0.250000,0.480328,0.169122,0.326351,0.029000,
Catamaran,Thin,0.187789,0.297579,0.741911,0.260000,0.273600,0.249406,0.383484,0.022000,
Caudex,Bold Italic,0.275368,0.328211,0.651429,0.250000,0.332776,0.164816,0.235209,0.133000,
Caudex,Bold,0.240316,0.328211,0.685552,0.250000,0.393927,0.172554,0.278596,0.087000,
Caudex,Italic,0.262000,0.317158,0.657629,0.230000,0.271701,0.201506,0.264007,0.100000,
Caudex,Regular,0.228421,0.318000,0.698632,0.230000,0.326211,0.207163,0.308973,0.081000,
Caveat,Bold,0.226947,0.308000,0.653788,0.190000,0.339459,0.185595,0.230154,0.117000,
Caveat Brush,Regular,0.193263,0.303789,0.683541,0.240000,0.467105,0.191905,0.340306,0.098000,
Caveat,Regular,0.213579,0.294737,0.659246,0.180000,0.263358,0.200297,0.258809,0.093000,
Cedarville Cursive,Regular,0.276947,0.344947,0.686635,0.220000,0.238946,0.171901,0.255273,0.144000,
Ceviche One,Regular,0.221158,0.261368,0.639640,0.230000,0.506350,0.238540,0.365747,0.102000,
Changa One,Italic,0.258737,0.301789,0.638966,0.250000,0.573718,0.151608,0.261474,0.074000,
Changa One,Regular,0.241789,0.303053,0.654817,0.250000,0.639250,0.121267,0.227377,0.030000,
Changa,Regular,0.194000,0.296842,0.698024,0.250000,0.456017,0.125061,0.250083,0.035000,
Chango,Regular,0.344211,0.345895,0.646609,0.260000,0.647671,0.129799,0.223479,0.061000,
Chau Philomene One,Italic,0.224632,0.352526,0.676097,0.270000,0.481666,0.162421,0.269961,0.085000,
Chau Philomene One,Regular,0.204632,0.352526,0.701452,0.270000,0.536202,0.142100,0.246404,0.050000,
Chela One,Regular,0.205368,0.308316,0.674254,0.270000,0.607274,0.177155,0.318455,0.073000,
Chelsea Market,Regular,0.244842,0.348632,0.680484,0.300000,0.443724,0.156909,0.270319,0.054000,
Chenla,Regular,0.237684,0.304632,0.649192,0.310000,0.227999,0.062386,0.191788,0.020000,
Cherry Cream Soda,Regular,0.319684,0.317474,0.652916,0.240000,0.436029,0.149992,0.277230,0.053000,
Cherry Swash,Bold,0.283474,0.327474,0.673441,0.250000,0.513263,0.158408,0.311262,0.161000,
Cherry Swash,Regular,0.253474,0.322211,0.694888,0.250000,0.382011,0.158780,0.260970,0.138000,
Chewy,Regular,0.214000,0.327895,0.690273,0.280000,0.552454,0.209753,0.331933,0.106000,
Chicle,Regular,0.196842,0.333895,0.708290,0.260000,0.522568,0.182919,0.311157,0.081000,
Chivo,Black Italic,0.281263,0.324526,0.646359,0.260000,0.549026,0.142756,0.247171,0.084000,
Chivo,Black,0.260211,0.316737,0.660550,0.260000,0.617810,0.138201,0.295335,0.029000,
Chivo,Italic,0.246105,0.321789,0.669356,0.260000,0.369464,0.140598,0.221537,0.076000,
Chivo,Regular,0.225368,0.314316,0.697823,0.260000,0.431347,0.151215,0.292267,0.031000,
Chonburi,Regular,0.275263,0.321684,0.685531,0.240000,0.404512,0.204905,0.313768,0.065000,
Cinzel,Black,0.297158,0.322105,0.661920,0.310000,0.450237,0.164235,0.281913,0.072000,
Cinzel,Bold,0.278842,0.319263,0.674081,0.310000,0.383544,0.171939,0.292441,0.066000,
Cinzel Decorative,Black,0.340000,0.358211,0.658942,0.350000,0.411771,0.155485,0.261590,0.101000,
Cinzel Decorative,Bold,0.318316,0.353789,0.670391,0.350000,0.351664,0.161315,0.271222,0.093000,
Cinzel Decorative,Regular,0.285263,0.349158,0.698738,0.350000,0.231097,0.209018,0.319341,0.073000,
Cinzel,Regular,0.250632,0.316421,0.704278,0.300000,0.251478,0.219425,0.339892,0.057000,
Clara,Regular,0.290000,0.333789,0.636219,0.260000,0.359483,0.186621,0.300851,0.127000,
Clicker Script,Regular,0.218316,0.313263,0.705230,0.180000,0.197993,0.357680,0.510563,0.097000,
Coda Caption,Heavy,0.273053,0.375158,0.658597,0.320000,0.703053,0.085324,0.199098,0.023000,
Coda,Heavy,0.291053,0.377053,0.655965,0.320000,0.685224,0.095027,0.189322,0.023000,
Coda,Regular,0.210632,0.333895,0.711431,0.270000,0.418943,0.124298,0.241972,0.028000,
Codystar,Light,0.234000,0.340737,0.736043,0.380000,0.039224,0.208663,0.369160,0.089000,
Codystar,Regular,0.236526,0.344737,0.735965,0.380000,0.073768,0.281257,0.427137,0.124000,
Combo,Regular,0.178737,0.316842,0.741565,0.260000,0.361427,0.174761,0.295484,0.045000,
Comfortaa,Bold,0.233053,0.342316,0.693120,0.270000,0.459043,0.211449,0.361433,0.039000,
Comfortaa,Light,0.235789,0.351684,0.718513,0.280000,0.287182,0.139478,0.242326,0.028000,
Comfortaa,Regular,0.225684,0.342105,0.716512,0.270000,0.401148,0.185364,0.242073,0.038000,
Coming Soon,Regular,0.234526,0.331579,0.692339,0.290000,0.275964,0.151376,0.247890,0.052000,
Concert One,Regular,0.203053,0.295579,0.674964,0.240000,0.595693,0.196947,0.353602,0.051000,
Condiment,Regular,0.312526,0.331895,0.640157,0.230000,0.291987,0.199442,0.269909,0.134000,
Content,Bold,0.237684,0.304632,0.649192,0.310000,0.227964,0.062426,0.191808,0.020000,
Content,Regular,0.237684,0.304632,0.649192,0.310000,0.227984,0.062494,0.191910,0.020000,
Contrail One,Regular,0.199684,0.367263,0.704804,0.310000,0.465172,0.120725,0.213366,0.076000,
Convergence,Regular,0.222842,0.331895,0.696259,0.270000,0.434541,0.146488,0.271396,0.032000,
Cookie,Regular,0.201053,0.277474,0.672936,0.200000,0.318961,0.288249,0.441004,0.099000,
Copse,Regular,0.246947,0.325895,0.682918,0.240000,0.412330,0.174213,0.304768,0.070000,
Corben,Regular,0.262421,0.318211,0.673891,0.250000,0.368036,0.165249,0.277826,0.103000,
Courgette,Regular,0.267158,0.346105,0.664347,0.250000,0.362107,0.189610,0.294614,0.125000,
Cousine,Bold Italic,0.266842,0.312842,0.644931,0.260000,0.451364,0.183423,0.314926,0.090000,
Cousine,Bold,0.238421,0.312526,0.662651,0.260000,0.515648,0.150203,0.304656,0.037000,
Cousine,Italic,0.254316,0.310947,0.653909,0.260000,0.345540,0.148654,0.222131,0.077000,
Cousine,Regular,0.227158,0.310842,0.675526,0.260000,0.392081,0.134939,0.255583,0.037000,
Coustard,Bold,0.316947,0.334526,0.644164,0.280000,0.602804,0.165671,0.266079,0.114000,
Coustard,Regular,0.271895,0.330526,0.664812,0.280000,0.431711,0.172094,0.285291,0.088000,
Covered By Your Grace,Regular,0.175474,0.300947,0.717149,0.310000,0.399784,0.175260,0.246665,0.062000,
Crafty Girls,Regular,0.254421,0.342526,0.689878,0.290000,0.268924,0.161165,0.253681,0.090000,
Creepster Caps,Regular,0.201684,0.348737,0.698612,0.380000,0.521924,0.162500,0.272643,0.076000,
Creepster,Regular,0.201684,0.348737,0.698612,0.380000,0.521939,0.162528,0.272620,0.076000,
Crete Round,Italic,0.252842,0.319053,0.657022,0.270000,0.391812,0.161497,0.257765,0.100000,
Crete Round,Regular,0.231474,0.315158,0.680528,0.250000,0.441356,0.141790,0.275750,0.064000,
Crimson Text,BoldItalic,0.260211,0.322316,0.663349,0.260000,0.365425,0.230491,0.335389,0.116000,
Crimson Text,Bold,0.258632,0.322526,0.685294,0.250000,0.417887,0.205297,0.322392,0.078000,
Crimson Text,Italic,0.247684,0.327053,0.675892,0.240000,0.295089,0.247954,0.343361,0.107000,
Crimson Text,Roman,0.245789,0.335053,0.699933,0.250000,0.327603,0.213307,0.334753,0.082000,
Crimson Text,SemiboldItalic,0.254421,0.328316,0.669609,0.250000,0.335172,0.230956,0.332979,0.114000,
Crimson Text,Semibold,0.251684,0.330000,0.688384,0.250000,0.376985,0.203517,0.325110,0.078000,
Croissant One,Regular,0.256526,0.324211,0.669339,0.270000,0.423020,0.192239,0.329084,0.056000,
Crushed,Regular,0.169474,0.313579,0.722277,0.340000,0.393420,0.143490,0.242901,0.034000,
Cuprum,Bold Italic,0.224000,0.316632,0.665098,0.250000,0.431135,0.176078,0.329337,0.072000,
Cuprum,Bold,0.189263,0.315474,0.707720,0.250000,0.509583,0.150994,0.344903,0.023000,
Cuprum,Italic,0.210842,0.315474,0.673010,0.250000,0.370845,0.153900,0.237178,0.060000,
Cuprum,Regular,0.175579,0.314632,0.729403,0.250000,0.450433,0.137014,0.271922,0.019000,
Cutive Mono,Regular,0.203263,0.259053,0.675553,0.200000,0.281928,0.224902,0.410052,0.055000,
Cutive,Regular,0.320105,0.390421,0.674506,0.280000,0.376899,0.134565,0.212506,0.087000,
cwTeXFangSong,Medium,0.420000,0.440000,0.604762,0.440000,0.318182,0.010281,0.010823,0.048000,
cwTeXHei,Medium,0.420000,0.440000,0.604762,0.440000,0.253788,0.011364,0.034091,0.032000,
cwTeXKai,Medium,0.430000,0.440000,0.602326,0.440000,0.269027,0.010571,0.043340,0.044000,
cwTeXMing,Medium,0.180000,0.340000,0.688889,0.340000,0.202614,0.022876,0.259804,0.032000,
cwTeXYen,Medium,0.430000,0.440000,0.602326,0.440000,0.269027,0.010571,0.043340,0.044000,
Damion,Regular,0.273263,0.298947,0.643115,0.190000,0.324993,0.184686,0.242936,0.129000,
Dancing Script,Bold,0.245474,0.316105,0.665036,0.190000,0.292028,0.259352,0.350238,0.117000,
Dancing Script,Regular,0.231579,0.313474,0.679698,0.200000,0.233856,0.296990,0.397160,0.097000,
Dangrek,Regular,0.237684,0.304737,0.649181,0.310000,0.227441,0.063292,0.194932,0.020000,
Dawning of a New Day,Regular,0.222947,0.291368,0.690497,0.210000,0.198003,0.366099,0.514050,0.103000,
Days One,Regular,0.281684,0.326526,0.654891,0.270000,0.563584,0.148320,0.263268,0.046000,
Dekko,Regular,0.171368,0.267053,0.695088,0.220000,0.400625,0.158436,0.239947,0.051000,
Delius,Regular,0.220526,0.341158,0.712622,0.270000,0.334508,0.136442,0.218003,0.058000,
Delius Swash Caps,Regular,0.235895,0.346000,0.708938,0.270000,0.332357,0.141716,0.224280,0.114000,
Delius Unicase,Bold,0.268211,0.361684,0.664181,0.400000,0.486035,0.175164,0.305907,0.082000,
Delius Unicase,Regular,0.254947,0.359158,0.681153,0.400000,0.371322,0.144265,0.220989,0.070000,
Della Respira,Regular,0.244737,0.347895,0.694755,0.240000,0.326696,0.214996,0.287975,0.062000,
Denk One,Regular,0.212947,0.370947,0.712297,0.300000,0.558910,0.120181,0.247491,0.033000,
Devonshire,Regular,0.191789,0.332421,0.698105,0.250000,0.425568,0.191852,0.308475,0.136000,
Dhurjati,Regular,0.196105,0.221789,0.662824,0.180000,0.523257,0.149685,0.352598,0.029000,
Dhyana,Bold,0.247368,0.350526,0.677909,0.290000,0.495805,0.139759,0.297936,0.032000,
Dhyana,Regular,0.226105,0.335158,0.696910,0.290000,0.387884,0.128298,0.237569,0.033000,
Didact Gothic,Regular,0.198737,0.297263,0.710898,0.230000,0.378133,0.184967,0.306450,0.036000,
Digital Numbers,Regular,0.232947,0.430526,0.728518,0.460000,0.386799,0.165355,0.268308,0.103000,
DinahVAA,Bold,0.200421,0.277474,0.676144,0.190000,0.462849,0.199059,0.338537,0.060000,
Dinah,Regular,0.180737,0.277895,0.700054,0.200000,0.381073,0.223918,0.343475,0.044000,
Diplomata,Regular,0.482842,0.330737,0.687558,0.280000,0.441001,0.159462,0.234924,0.142000,
Diplomata SC,Regular,0.496632,0.313158,0.696083,0.280000,0.439685,0.163343,0.241107,0.142000,
Domine,Bold,0.260316,0.337895,0.672016,0.270000,0.449502,0.165070,0.299798,0.066000,
Domine,Regular,0.247053,0.336105,0.688762,0.270000,0.368770,0.170751,0.281741,0.071000,
Donegal One,Regular,0.256211,0.349684,0.695828,0.250000,0.375506,0.160141,0.254565,0.075000,
Doppio One,Regular,0.221684,0.327684,0.692614,0.260000,0.507428,0.132793,0.303639,0.024000,
Dorsa,Regular,0.078000,0.302526,0.996984,0.250000,0.384606,0.212559,0.444315,0.017000,
Dosis,Bold,0.210842,0.312737,0.684521,0.240000,0.526975,0.188013,0.353877,0.036000,
Dosis,ExtraBold,0.222105,0.315368,0.672425,0.250000,0.578556,0.192204,0.351286,0.042000,
Dosis,ExtraLight,0.170526,0.309579,0.775719,0.240000,0.264558,0.271889,0.459663,0.019000,
Dosis,Light,0.178632,0.310526,0.745190,0.240000,0.287446,0.204405,0.340867,0.024000,
Dosis,Medium,0.191579,0.311263,0.712454,0.240000,0.420516,0.172659,0.293148,0.033000,
Dosis,Regular,0.184105,0.310947,0.729478,0.240000,0.361959,0.171881,0.300907,0.026000,
Dosis,SemiBold,0.201684,0.312211,0.695644,0.240000,0.478978,0.177950,0.337868,0.034000,
Droid Arabic Kufi,Bold,0.257263,0.435368,0.668502,0.440000,0.294074,0.028543,0.071789,0.040000,
Droid Arabic Kufi,Regular,0.257263,0.435368,0.668502,0.440000,0.294074,0.028543,0.071789,0.040000,
Droid Arabic Naskh,Bold,0.257263,0.435368,0.668502,0.440000,0.294074,0.026813,0.072654,0.032000,
Droid Arabic Naskh,Regular,0.257263,0.435368,0.668502,0.440000,0.294074,0.028543,0.071789,0.040000,
Droid Sans,Bold,0.234632,0.325368,0.674875,0.270000,0.532076,0.152452,0.315437,0.039000,
Droid Sans Ethiopic,Bold,0.217684,0.356211,0.662967,0.360000,0.299841,0.043727,0.134928,0.040000,
Droid Sans Ethiopic,Regular,0.207789,0.306737,0.647118,0.310000,0.381502,0.167192,0.258388,0.096000,
Droid Sans Japanese,Regular,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,
Droid Sans Mono,Regular,0.221895,0.324316,0.682486,0.270000,0.389507,0.131557,0.235558,0.030000,
Droid Sans Tamil,Bold,0.204947,0.365789,0.690332,0.360000,0.409957,0.096397,0.170240,0.032000,
Droid Sans Tamil,Regular,0.197684,0.360632,0.706281,0.360000,0.379522,0.091251,0.147009,0.032000,
Droid Sans Thai,Bold,0.217684,0.356211,0.662967,0.360000,0.299841,0.043727,0.134928,0.040000,
Droid Sans Thai,Regular,0.247368,0.336421,0.635621,0.340000,0.435368,0.020954,0.103604,0.040000,
Droid Sans,Regular,0.214632,0.324842,0.698195,0.270000,0.401660,0.133788,0.245386,0.030000,
Droid Serif,Bold Italic,0.286316,0.328632,0.658949,0.270000,0.418070,0.187012,0.290579,0.119000,
Droid Serif,Bold,0.261263,0.327579,0.673427,0.270000,0.463787,0.165700,0.286700,0.074000,
Droid Serif,Italic,0.262421,0.327895,0.672563,0.270000,0.339521,0.183933,0.272387,0.110000,
DroidSerifThai,Bold,0.207789,0.356211,0.670677,0.360000,0.361236,0.041882,0.091618,0.040000,
Droid Serif Thai,Regular,0.207789,0.356211,0.670677,0.360000,0.361236,0.041882,0.091618,0.040000,
Droid Serif,Regular,0.242526,0.326211,0.686146,0.270000,0.371625,0.178896,0.305778,0.072000,
Dr Sugiyama,Regular,0.208211,0.296421,0.685095,0.160000,0.349978,0.253490,0.405441,0.146000,
Duru Sans,Regular,0.228842,0.350000,0.715083,0.300000,0.375754,0.129839,0.221859,0.029000,
Dynalight,Regular,0.225895,0.291158,0.663775,0.190000,0.228727,0.354851,0.460321,0.091000,
Eagle Lake,Regular,0.309789,0.370211,0.658835,0.390000,0.306951,0.173284,0.257800,0.086000,
Eater Caps,Regular,0.299789,0.393368,0.657847,0.460000,0.340646,0.164725,0.212023,0.155000,
Eater,Regular,0.299789,0.393368,0.657847,0.460000,0.340646,0.164725,0.212023,0.155000,
EB Garamond,Regular,0.222000,0.299789,0.690928,0.220000,0.296417,0.234220,0.362664,0.091000,
Economica,Bold Italic,0.181263,0.324737,0.700248,0.270000,0.393469,0.143123,0.207018,0.067000,
Economica,Bold,0.157895,0.323368,0.743351,0.270000,0.484986,0.130238,0.231144,0.029000,
Economica,Italic,0.173684,0.323684,0.713934,0.270000,0.302244,0.168173,0.228418,0.052000,
Economica,Regular,0.143579,0.323579,0.781356,0.270000,0.373314,0.161464,0.258031,0.026000,
Eczar,Bold,0.269158,0.316000,0.655860,0.240000,0.509870,0.195811,0.314358,0.079000,
Eczar,ExtraBold,0.279368,0.316000,0.650853,0.240000,0.549651,0.192577,0.308267,0.077000,
Eczar,Medium,0.246211,0.314737,0.674609,0.240000,0.426002,0.182013,0.292377,0.071000,
Eczar,Regular,0.232842,0.313895,0.683137,0.260000,0.367755,0.169847,0.263912,0.074000,
Eczar,SemiBold,0.257579,0.315684,0.664098,0.240000,0.467129,0.190604,0.304962,0.075000,
Ek Mukta,Bold,0.218105,0.296632,0.678978,0.240000,0.522041,0.169750,0.345651,0.024000,
Ek Mukta,ExtraBold,0.222211,0.306947,0.679207,0.240000,0.548350,0.165356,0.331487,0.024000,
Ek Mukta,ExtraLight,0.190211,0.298105,0.736994,0.240000,0.294588,0.207244,0.350040,0.020000,
Ek Mukta,Light,0.196947,0.299474,0.712564,0.240000,0.357658,0.161516,0.303996,0.020000,
Ek Mukta,Medium,0.208632,0.299684,0.692615,0.240000,0.449433,0.167763,0.328951,0.024000,
Ek Mukta,Regular,0.202842,0.299263,0.700720,0.240000,0.411709,0.162982,0.290739,0.021000,
Ek Mukta,SemiBold,0.212632,0.296000,0.684289,0.240000,0.481716,0.178981,0.353621,0.024000,
Electrolize,Regular,0.210421,0.308316,0.719688,0.250000,0.432891,0.113846,0.257134,0.021000,
Elsie,Black,0.257474,0.313789,0.702015,0.260000,0.419366,0.181258,0.309827,0.062000,
Elsie,Regular,0.221474,0.302421,0.718195,0.250000,0.294970,0.189681,0.326666,0.051000,
Elsie Swash Caps,Black,0.258737,0.318421,0.702238,0.260000,0.418418,0.189825,0.307904,0.105000,
Elsie Swash Caps,Regular,0.220632,0.305789,0.718876,0.250000,0.297653,0.200255,0.331153,0.090000,
Emblema One,Regular,0.274842,0.303368,0.658063,0.240000,0.516552,0.187448,0.303072,0.092000,
Emilys Candy,Regular,0.252526,0.338211,0.698327,0.280000,0.279270,0.222436,0.339779,0.095000,
Encode Sans,Black,0.283789,0.354105,0.662655,0.270000,0.622373,0.111784,0.223097,0.029000,
Encode Sans,Bold,0.260526,0.352105,0.676882,0.280000,0.539544,0.132968,0.269290,0.029000,
Encode Sans Compressed,Black,0.239053,0.352526,0.677141,0.280000,0.619651,0.119235,0.246532,0.024000,
Encode Sans Compressed,Bold,0.216211,0.349263,0.702329,0.270000,0.518863,0.126811,0.274482,0.027000,
Encode Sans Compressed,ExtraBold,0.226105,0.350842,0.690828,0.270000,0.569934,0.125329,0.258819,0.021000,
Encode Sans Compressed,ExtraLight,0.175895,0.345579,0.782704,0.270000,0.253514,0.193880,0.343279,0.024000,
Encode Sans Compressed,Light,0.181368,0.346211,0.765641,0.270000,0.294749,0.161346,0.270097,0.028000,
Encode Sans Compressed,Medium,0.198632,0.347368,0.728966,0.270000,0.413030,0.114228,0.232924,0.029000,
Encode Sans Compressed,Regular,0.189053,0.346632,0.745155,0.270000,0.352899,0.119471,0.226212,0.029000,
Encode Sans Compressed,SemiBold,0.207158,0.349474,0.713827,0.270000,0.470453,0.130026,0.273178,0.030000,
Encode Sans Compressed,Thin,0.170842,0.344526,0.809864,0.270000,0.233777,0.233976,0.409437,0.023000,
Encode Sans Condensed,Black,0.253579,0.353053,0.672190,0.270000,0.624988,0.117722,0.242014,0.024000,
Encode Sans Condensed,Bold,0.232737,0.350211,0.691436,0.270000,0.539165,0.130091,0.273438,0.029000,
Encode Sans Condensed,ExtraBold,0.244211,0.351474,0.680509,0.270000,0.585796,0.124002,0.260027,0.021000,
Encode Sans Condensed,ExtraLight,0.186421,0.345158,0.774620,0.270000,0.267139,0.186495,0.313349,0.029000,
Encode Sans Condensed,Light,0.193158,0.346421,0.754473,0.270000,0.320420,0.128553,0.232861,0.029000,
Encode Sans Condensed,Medium,0.211158,0.348842,0.716424,0.270000,0.422705,0.124483,0.244028,0.030000,
Encode Sans Condensed,Regular,0.201263,0.346737,0.734403,0.270000,0.365832,0.122712,0.216400,0.029000,
Encode Sans Condensed,SemiBold,0.222632,0.348737,0.700803,0.270000,0.485423,0.131748,0.280700,0.025000,
Encode Sans Condensed,Thin,0.182000,0.344316,0.799200,0.270000,0.237847,0.224404,0.382780,0.027000,
Encode Sans,ExtraBold,0.273789,0.352316,0.668029,0.270000,0.585150,0.119116,0.245804,0.030000,
Encode Sans,ExtraLight,0.211158,0.345579,0.753220,0.270000,0.256396,0.139308,0.270459,0.028000,
Encode Sans,Light,0.217474,0.346211,0.737815,0.270000,0.314285,0.122134,0.235574,0.028000,
Encode Sans,Medium,0.235474,0.349579,0.704071,0.280000,0.444593,0.125819,0.260426,0.030000,
Encode Sans Narrow,Black,0.269053,0.353474,0.665759,0.270000,0.624650,0.114408,0.233182,0.025000,
Encode Sans Narrow,Bold,0.247474,0.351789,0.682150,0.280000,0.538795,0.128474,0.265109,0.028000,
Encode Sans Narrow,ExtraBold,0.258526,0.352421,0.673387,0.270000,0.585070,0.122073,0.247385,0.030000,
Encode Sans Narrow,ExtraLight,0.199684,0.345368,0.767949,0.270000,0.255638,0.157669,0.287965,0.024000,
Encode Sans Narrow,Light,0.204526,0.346421,0.745472,0.270000,0.326066,0.132171,0.233423,0.029000,
Encode Sans Narrow,Medium,0.223368,0.348000,0.707620,0.270000,0.433053,0.124247,0.258260,0.030000,
Encode Sans Narrow,Regular,0.212737,0.346842,0.727603,0.270000,0.370800,0.114173,0.202521,0.028000,
Encode Sans Narrow,SemiBold,0.235474,0.350105,0.693612,0.280000,0.486030,0.128695,0.268210,0.029000,
Encode Sans Narrow,Thin,0.193579,0.344632,0.791945,0.270000,0.235236,0.221317,0.383881,0.027000,
Encode Sans,Regular,0.225789,0.347895,0.717765,0.280000,0.389239,0.117232,0.202141,0.029000,
Encode Sans,SemiBold,0.247368,0.350526,0.688737,0.280000,0.497325,0.133201,0.275015,0.025000,
Encode Sans,Thin,0.206421,0.344421,0.774805,0.270000,0.232796,0.203501,0.356084,0.028000,
Encode Sans Wide,Black,0.299158,0.355053,0.659673,0.280000,0.631124,0.111439,0.224587,0.025000,
Encode Sans Wide,Bold,0.275158,0.352105,0.672127,0.280000,0.553775,0.123637,0.250848,0.030000,
Encode Sans Wide,ExtraBold,0.287684,0.352421,0.664764,0.280000,0.595594,0.119836,0.246073,0.029000,
Encode Sans Wide,ExtraLight,0.221053,0.346421,0.745768,0.280000,0.270131,0.152853,0.258500,0.028000,
Encode Sans Wide,Light,0.228947,0.345895,0.729368,0.270000,0.322332,0.111822,0.224410,0.024000,
Encode Sans Wide,Medium,0.249579,0.349053,0.695982,0.280000,0.441647,0.121856,0.257440,0.029000,
Encode Sans Wide,Regular,0.238526,0.347474,0.712564,0.270000,0.377358,0.113333,0.220367,0.027000,
Encode Sans Wide,SemiBold,0.260947,0.350316,0.682114,0.280000,0.504719,0.125456,0.247468,0.030000,
Encode Sans Wide,Thin,0.216316,0.346211,0.762692,0.280000,0.233372,0.182932,0.333995,0.023000,
Engagement,Regular,0.197895,0.316421,0.689102,0.170000,0.344631,0.269268,0.392931,0.118000,
Englebert,Regular,0.175684,0.321263,0.722739,0.270000,0.404652,0.162354,0.242242,0.048000,
Enriqueta,Bold,0.245263,0.328632,0.674314,0.250000,0.465839,0.154941,0.297840,0.064000,
Enriqueta,Regular,0.230421,0.326105,0.690609,0.240000,0.362171,0.158665,0.265218,0.060000,
Erica One,Regular,0.292947,0.335263,0.637330,0.300000,0.785049,0.080752,0.155057,0.029000,
Esteban,Regular,0.232842,0.331263,0.689006,0.240000,0.323029,0.160465,0.264305,0.095000,
Euphoria Script,Regular,0.198947,0.291684,0.698532,0.220000,0.223946,0.346119,0.468708,0.113000,
Ewert,Regular,0.302316,0.350421,0.637016,0.380000,0.393227,0.225375,0.350465,0.183000,
Exo 2,Black Italic,0.281579,0.322526,0.643840,0.250000,0.581462,0.137019,0.268629,0.071000,
Exo 2,Black,0.258842,0.321474,0.658357,0.250000,0.647982,0.114452,0.252177,0.036000,
Exo 2,Bold Italic,0.258842,0.312737,0.652608,0.240000,0.478355,0.155226,0.298551,0.073000,
Exo 2,Bold,0.234632,0.311474,0.672917,0.240000,0.538271,0.133281,0.306153,0.035000,
Exo 2,Extra Bold Italic,0.272526,0.324105,0.647112,0.250000,0.534471,0.142826,0.274339,0.073000,
Exo 2,Extra Bold,0.248105,0.322000,0.665728,0.250000,0.600728,0.123083,0.269564,0.038000,
Exo 2,Extra Light Italic,0.224842,0.315368,0.692214,0.240000,0.195281,0.251689,0.366475,0.044000,
Exo 2,Extra Light,0.198526,0.313474,0.773190,0.240000,0.250411,0.217711,0.376392,0.026000,
