Family Name,Style Name,Width,Height,Aspect Ratio,x-height,Density,Slant,Curve,Serif,
Alegreya Sans SC,Regular,0.196105,0.277789,0.695009,0.250000,0.361751,0.160617,0.284483,0.029000,
Alegreya Sans SC,Thin Italic,0.187263,0.274737,0.713339,0.250000,0.130468,0.292637,0.427862,0.024000,
Alegreya Sans SC,Thin,0.178316,0.274632,0.773095,0.250000,0.137796,0.263006,0.412127,0.014000,
Alegreya Sans,Thin Italic,0.179263,0.285579,0.729005,0.250000,0.133387,0.323451,0.446668,0.025000,
Alegreya Sans,Thin,0.172842,0.283368,0.797298,0.250000,0.137387,0.271217,0.420941,0.014000,
Alegreya SC,Black Italic,0.266105,0.298842,0.637284,0.270000,0.542620,0.178814,0.291809,0.113000,
Alegreya SC,Black,0.254421,0.298842,0.647842,0.270000,0.581386,0.163831,0.289262,0.086000,
Alegreya SC,Bold Italic,0.245895,0.296421,0.646317,0.270000,0.428632,0.171674,0.272491,0.112000,
Alegreya SC,Bold,0.236316,0.296421,0.660886,0.270000,0.466107,0.168282,0.295555,0.083000,
Alegreya SC,Italic,0.227474,0.293368,0.660122,0.270000,0.291960,0.202258,0.298808,0.104000,
Alegreya SC,Regular,0.220526,0.293684,0.678353,0.270000,0.327323,0.179425,0.280105,0.092000,
Alex Brush,Regular,0.308316,0.286211,0.655499,0.270000,0.193530,0.357343,0.460577,0.121000,
Alfa Slab One,Regular,0.296316,0.358632,0.666974,0.280000,0.681543,0.120921,0.259020,0.052000,
Alice,Regular,0.234632,0.304947,0.685364,0.250000,0.358638,0.184369,0.308545,0.075000,
Alike Angular,Regular,0.240632,0.331158,0.686952,0.270000,0.338925,0.159449,0.269922,0.087000,
Alike,Regular,0.241684,0.330526,0.695962,0.270000,0.351408,0.161781,0.281787,0.073000,
Allan,Bold,0.232737,0.321684,0.657761,0.260000,0.466458,0.197499,0.348430,0.083000,
Allan,Regular,0.215684,0.323684,0.678354,0.260000,0.331512,0.158318,0.199951,0.062000,
Allerta,Regular,0.210421,0.316000,0.682189,0.280000,0.416740,0.140791,0.262486,0.031000,
Allerta Stencil,Regular,0.210421,0.316000,0.682189,0.280000,0.405180,0.137256,0.256130,0.035000,
Allura,Regular,0.264947,0.277789,0.658665,0.260000,0.189447,0.383591,0.508847,0.097000,
Almendra,Bold Italic,0.223684,0.321579,0.684559,0.270000,0.432792,0.197969,0.310072,0.075000,
Almendra,Bold,0.240737,0.318000,0.680816,0.270000,0.438690,0.195192,0.295325,0.087000,
Almendra Display,Regular,0.216421,0.322947,0.760669,0.270000,0.083668,0.185042,0.265133,0.055000,
Almendra,Italic,0.198737,0.313789,0.704308,0.260000,0.298340,0.261334,0.368040,0.063000,
Almendra,Regular,0.215158,0.310211,0.700533,0.260000,0.309135,0.234784,0.337265,0.079000,
Almendra SC,Bold Italic,0.238211,0.317474,0.674457,0.290000,0.428393,0.183335,0.276323,0.114000,
Almendra SC,Bold,0.255158,0.316421,0.675882,0.290000,0.424441,0.186705,0.275784,0.103000,
Almendra SC,Italic,0.207684,0.308421,0.693140,0.280000,0.297257,0.238968,0.322580,0.093000,
Almendra SC,Regular,0.234316,0.306316,0.687959,0.280000,0.301677,0.215566,0.307910,0.094000,
Amarante,Regular,0.218737,0.332947,0.693692,0.250000,0.426036,0.146564,0.264447,0.058000,
Amaranth,Bold Italic,0.247895,0.311474,0.648751,0.250000,0.520929,0.201615,0.338450,0.077000,
Amaranth,Bold,0.231053,0.312737,0.665445,0.250000,0.574752,0.160997,0.311225,0.025000,
Amaranth,Italic,0.232526,0.309368,0.659312,0.260000,0.419060,0.190811,0.313329,0.072000,
Amaranth,Regular,0.212947,0.309053,0.685619,0.250000,0.477687,0.164677,0.341335,0.026000,
Amatic SC,Bold,0.120526,0.346842,0.819607,0.340000,0.340505,0.140864,0.227650,0.051000,
Amatic SC,Regular,0.109263,0.345368,0.857775,0.350000,0.218091,0.212953,0.339070,0.045000,
Amethysta,Regular,0.246211,0.331789,0.696462,0.250000,0.357765,0.172742,0.277337,0.068000,
Amiri,Bold Slanted,0.229895,0.310000,0.686299,0.230000,0.372532,0.230145,0.345462,0.115000,
Amiri,Bold,0.231789,0.309579,0.689771,0.230000,0.391994,0.196834,0.318432,0.080000,
Amiri,Regular,0.212842,0.307895,0.709442,0.220000,0.305289,0.233737,0.342985,0.077000,
Amiri,Slanted,0.211895,0.308526,0.705771,0.230000,0.289956,0.274626,0.372328,0.100000,
Amita,Bold,0.235895,0.339263,0.680208,0.260000,0.400862,0.223540,0.336727,0.086000,
Amita,Regular,0.227368,0.335368,0.688733,0.260000,0.342260,0.232543,0.356643,0.079000,
Anaheim,Regular,0.178526,0.291474,0.705215,0.250000,0.345546,0.155740,0.293831,0.037000,
Andada,Bold Italic,0.258421,0.336000,0.659042,0.270000,0.436272,0.167263,0.259297,0.111000,
Andada,Bold,0.249474,0.333579,0.676358,0.270000,0.481092,0.159421,0.276171,0.084000,
Andada,Italic,0.240211,0.334211,0.672321,0.270000,0.320209,0.161392,0.225361,0.110000,
Andada,Regular,0.231053,0.331263,0.694217,0.260000,0.359582,0.151334,0.256242,0.083000,
Andada SC,Bold Italic,0.263684,0.323368,0.651016,0.290000,0.438858,0.170570,0.267335,0.111000,
Andada SC,Bold,0.248211,0.322526,0.669638,0.290000,0.488200,0.165555,0.284890,0.084000,
Andada SC,Italic,0.248421,0.320211,0.660865,0.280000,0.318698,0.164973,0.222894,0.110000,
Andada SC,Regular,0.232211,0.319684,0.684705,0.280000,0.364528,0.163301,0.261289,0.083000,
Andika,Regular,0.228737,0.325158,0.694223,0.250000,0.393192,0.148275,0.264292,0.033000,
Angkor,Regular,0.237684,0.313789,0.652554,0.320000,0.218258,0.072258,0.160923,0.024000,
Annie Use Your Telescope,Regular,0.178737,0.293789,0.711311,0.260000,0.250056,0.221153,0.344242,0.046000,
Anonymous Pro,Bold Italic,0.243158,0.293789,0.645304,0.230000,0.417451,0.178661,0.288109,0.073000,
Anonymous Pro,Bold,0.206632,0.293684,0.672867,0.230000,0.502782,0.158651,0.313529,0.030000,
Anonymous Pro,Italic,0.237684,0.292842,0.656650,0.230000,0.304774,0.182889,0.269669,0.055000,
Anonymous Pro,Regular,0.202421,0.292842,0.686994,0.230000,0.374453,0.161730,0.277180,0.030000,
Antic Didone,Regular,0.215684,0.321158,0.734088,0.260000,0.235074,0.201535,0.325360,0.045000,
Antic,Regular,0.197789,0.320737,0.731389,0.270000,0.315433,0.177008,0.277818,0.035000,
Antic Slab,Regular,0.217263,0.319474,0.709683,0.250000,0.312395,0.182985,0.285175,0.064000,
Antonio,Bold,0.176947,0.379263,0.747280,0.370000,0.593593,0.113840,0.278699,0.028000,
Antonio,Light,0.146421,0.375579,0.810649,0.370000,0.440698,0.121932,0.245468,0.026000,
Antonio,Regular,0.161895,0.377579,0.773777,0.370000,0.513118,0.113211,0.254967,0.028000,
Anton,Regular,0.204211,0.363053,0.701764,0.370000,0.676386,0.116505,0.243272,0.029000,
Arapey,Italic,0.215263,0.290947,0.671624,0.240000,0.254258,0.272834,0.364421,0.073000,
Arapey,Regular,0.200421,0.287579,0.691802,0.230000,0.299810,0.226513,0.352872,0.055000,
Arbutus,Regular,0.319263,0.341474,0.647409,0.270000,0.539084,0.116789,0.211989,0.100000,
Arbutus Slab,Regular,0.262421,0.332000,0.681828,0.250000,0.400962,0.167314,0.289193,0.075000,
Architects Daughter,Regular,0.241684,0.302842,0.682277,0.250000,0.301255,0.167048,0.254150,0.061000,
Archivo Black,Regular,0.274737,0.320211,0.662300,0.260000,0.618032,0.141137,0.274631,0.025000,
Archivo Narrow,Bold Italic,0.222737,0.317895,0.674057,0.260000,0.474200,0.166448,0.337013,0.063000,
Archivo Narrow,Bold,0.202105,0.317053,0.700076,0.260000,0.538862,0.143123,0.331164,0.021000,
Archivo Narrow,Italic,0.210000,0.315474,0.685329,0.260000,0.381467,0.152905,0.250697,0.064000,
Archivo Narrow,Regular,0.186632,0.315053,0.726307,0.260000,0.447987,0.141953,0.279571,0.029000,
Arimo,Bold Italic,0.273895,0.315895,0.657098,0.260000,0.453876,0.186316,0.325403,0.085000,
Arimo,Bold,0.244526,0.316000,0.682824,0.260000,0.527857,0.146973,0.316072,0.028000,
Arimo,Italic,0.256105,0.313368,0.670700,0.260000,0.346051,0.160337,0.233083,0.071000,
Arimo,Regular,0.226737,0.313789,0.701449,0.260000,0.410498,0.134630,0.257254,0.030000,
Arizonia,Regular,0.295789,0.281789,0.645590,0.230000,0.221085,0.269397,0.329875,0.101000,
Armata,Regular,0.225053,0.357158,0.721671,0.290000,0.361824,0.108245,0.202230,0.030000,
